Date,Temp (C),Condition,Wind Speed (Kph),Wind Direction,Pressure (mb),Precipitation (mm),Humidity (%),Visibility (km),Gust Speed (Kph),Feels Like (C),Will it Rain?,Chance of Rain (%),Will it Snow?,Chance of Snow (%)
2024-10-02 09:00,12.4,Sunny,11.2,NNW,1016.0,0.0,74,10.0,15.1,10.7,0,0,0,0
2024-10-02 10:00,13.4,Sunny,11.9,N,1017.0,0.0,69,10.0,14.7,11.9,0,0,0,0
2024-10-02 11:00,14.4,Sunny,10.8,NNW,1017.0,0.0,64,10.0,12.5,13.3,0,0,0,0
2024-10-02 12:00,15.1,Sunny,9.4,NNW,1016.0,0.0,55,10.0,10.8,14.4,0,0,0,0
2024-10-02 13:00,15.8,Sunny,9.4,NW,1016.0,0.0,51,10.0,10.8,15.4,0,0,0,0
2024-10-02 14:00,16.1,Sunny,9.7,WNW,1016.0,0.0,47,10.0,11.2,16.0,0,0,0,0
2024-10-02 15:00,16.3,Sunny,7.6,WNW,1015.0,0.0,49,10.0,8.7,16.3,0,0,0,0
2024-10-02 16:00,16.5,Partly cloudy,6.8,W,1015.0,0.0,50,10.0,7.9,16.4,0,0,0,0
2024-10-02 17:00,16.2,Partly cloudy,6.8,WSW,1015.0,0.0,51,10.0,8.7,16.2,0,0,0,0
2024-10-02 18:00,15.9,Partly cloudy,7.9,SW,1015.0,0.0,59,10.0,11.4,15.9,0,0,0,0
2024-10-02 19:00,15.6,Partly cloudy,8.6,SSW,1016.0,0.0,64,10.0,14.6,15.6,0,0,0,0
2024-10-02 20:00,15.3,Partly cloudy,7.9,SSW,1016.0,0.0,68,10.0,13.9,15.2,0,0,0,0
2024-10-02 21:00,15.0,Partly cloudy,8.3,SSW,1016.0,0.0,72,10.0,14.4,14.8,0,0,0,0
2024-10-02 22:00,16.4,Partly cloudy,8.6,SW,1016.0,0.0,73,10.0,14.7,16.3,0,0,0,0
2024-10-02 23:00,15.1,Mist,7.9,WSW,1012.0,0.0,95,10.0,13.8,14.9,0,0,0,0
2024-10-03 00:00,13.9,Clear,8.6,SW,1017.0,0.0,76,10.0,14.3,13.8,0,0,0,0
2024-10-03 01:00,13.4,Clear,6.1,WSW,1017.0,0.0,78,10.0,10.5,13.1,0,0,0,0
2024-10-03 02:00,12.7,Clear,5.4,WSW,1017.0,0.0,79,10.0,9.6,12.3,0,0,0,0
2024-10-03 03:00,12.1,Clear,6.5,WSW,1017.0,0.0,82,10.0,12.0,11.6,0,0,0,0
2024-10-03 04:00,11.6,Clear,6.1,WSW,1017.0,0.0,84,10.0,11.4,11.0,0,0,0,0
2024-10-03 05:00,11.1,Clear,6.8,WSW,1017.0,0.0,86,10.0,12.9,10.4,0,0,0,0
2024-10-03 06:00,10.7,Clear,6.8,SW,1018.0,0.0,88,10.0,13.1,9.9,0,0,0,0
2024-10-03 07:00,10.4,Clear,6.8,SW,1018.0,0.0,89,10.0,13.0,9.5,0,0,0,0
2024-10-03 08:00,12.6,Sunny,7.9,SSW,1018.0,0.0,91,10.0,14.2,12.0,0,0,0,0
2024-10-03 09:00,14.9,Sunny,11.5,SSW,1018.0,0.0,78,10.0,16.5,14.5,0,0,0,0
2024-10-03 10:00,17.3,Sunny,12.6,SSW,1018.0,0.0,72,10.0,15.8,17.0,0,0,0,0
2024-10-03 11:00,19.3,Sunny,13.3,SSW,1018.0,0.0,66,10.0,15.5,19.2,0,0,0,0
2024-10-03 12:00,20.8,Sunny,13.7,SSW,1017.0,0.0,57,10.0,15.7,20.7,0,0,0,0
2024-10-03 13:00,21.9,Sunny,13.0,SSW,1017.0,0.0,53,10.0,14.9,21.9,0,0,0,0
2024-10-03 14:00,22.4,Sunny,12.2,SSW,1017.0,0.0,48,10.0,14.1,23.9,0,0,0,0
2024-10-03 15:00,22.6,Sunny,13.0,S,1017.0,0.0,50,10.0,15.5,24.3,0,0,0,0
2024-10-03 16:00,22.7,Sunny,14.0,S,1017.0,0.0,51,10.0,17.4,24.5,0,0,0,0
2024-10-03 17:00,21.5,Sunny,14.0,S,1017.0,0.0,52,10.0,18.6,21.5,0,0,0,0
2024-10-03 18:00,20.2,Sunny,12.2,S,1017.0,0.0,62,10.0,18.5,20.2,0,0,0,0
2024-10-03 19:00,19.0,Clear,10.8,S,1017.0,0.0,66,10.0,18.6,19.0,0,0,0,0
2024-10-03 20:00,18.3,Clear,9.4,S,1018.0,0.0,71,10.0,17.0,18.3,0,0,0,0
2024-10-03 21:00,17.6,Clear,7.2,SSW,1018.0,0.0,60,10.0,13.8,17.6,0,0,0,0
2024-10-03 22:00,16.0,Clear,6.5,SSW,1019.0,0.0,62,10.0,12.6,16.1,0,0,0,0
2024-10-03 23:00,16.0,Clear,6.8,SSW,1016.0,0.0,74,10.0,13.5,16.1,0,0,0,0
2024-10-04 00:00,16.1,Clear,5.4,NW,1018.0,0.0,86,10.0,10.4,16.4,0,0,0,0
2024-10-04 01:00,15.6,Clear,5.0,NNW,1018.0,0.0,89,10.0,9.7,15.9,0,0,0,0
2024-10-04 02:00,14.9,Clear,5.8,NNW,1019.0,0.0,91,10.0,11.0,15.2,0,0,0,0
2024-10-04 03:00,14.4,Clear,6.5,NNW,1019.0,0.0,92,10.0,12.2,14.6,0,0,0,0
2024-10-04 04:00,13.9,Clear,6.1,NNW,1019.0,0.0,92,10.0,11.7,14.0,0,0,0,0
2024-10-04 05:00,13.5,Clear,5.4,N,1019.0,0.0,92,10.0,10.3,13.5,0,0,0,0
2024-10-04 06:00,13.3,Partly cloudy,5.8,N,1020.0,0.0,90,10.0,10.9,13.1,0,0,0,0
2024-10-04 07:00,13.0,Cloudy,5.8,N,1020.0,0.0,89,10.0,11.1,12.8,0,0,0,0
2024-10-04 08:00,13.9,Cloudy,7.2,NNW,1020.0,0.0,88,10.0,12.7,13.7,0,0,0,0
2024-10-04 09:00,14.8,Cloudy,9.0,N,1021.0,0.0,82,10.0,12.6,14.6,0,0,0,0
2024-10-04 10:00,15.7,Cloudy,7.9,NNE,1021.0,0.0,79,10.0,9.8,15.6,0,0,0,0
2024-10-04 11:00,16.7,Overcast,3.6,NE,1021.0,0.0,76,10.0,4.1,16.7,0,0,0,0
2024-10-04 12:00,17.6,Overcast,2.5,WNW,1021.0,0.0,68,10.0,2.9,17.6,0,0,0,0
2024-10-04 13:00,18.3,Overcast,4.7,NNW,1021.0,0.0,64,10.0,5.4,18.3,0,0,0,0
2024-10-04 14:00,18.7,Partly cloudy,3.2,NNW,1021.0,0.0,60,10.0,4.1,18.7,0,0,0,0
2024-10-04 15:00,18.9,Partly cloudy,7.2,WNW,1021.0,0.0,55,10.0,9.3,18.9,0,0,0,0
2024-10-04 16:00,19.1,Partly cloudy,10.8,NNW,1021.0,0.0,52,10.0,14.5,19.1,0,0,0,0
2024-10-04 17:00,18.3,Partly cloudy,13.0,NNW,1021.0,0.0,49,10.0,17.1,18.3,0,0,0,0
2024-10-04 18:00,17.6,Partly cloudy,12.2,N,1021.0,0.0,54,10.0,16.6,17.6,0,0,0,0
2024-10-04 19:00,16.8,Partly cloudy,11.5,N,1022.0,0.0,57,10.0,16.6,16.8,0,0,0,0
2024-10-04 20:00,15.9,Cloudy,11.9,N,1022.0,0.0,59,10.0,17.0,15.5,0,0,0,0
2024-10-04 21:00,15.1,Cloudy,12.2,N,1023.0,0.0,62,10.0,17.2,14.4,0,0,0,0
2024-10-04 22:00,16.1,Cloudy,12.6,N,1023.0,0.0,64,10.0,19.3,15.7,0,0,0,0
2024-10-04 23:00,14.3,Clear,11.2,N,1018.0,0.0,80,10.0,17.8,13.3,0,0,0,0
2024-10-05 00:00,11.9,Clear,8.6,NNW,1023.0,0.0,88,10.0,15.3,11.1,0,0,0,0
2024-10-05 01:00,11.2,Clear,8.6,NNW,1023.0,0.0,90,10.0,15.4,10.3,0,0,0,0
2024-10-05 02:00,10.4,Clear,8.3,NNW,1023.0,0.0,92,10.0,14.8,9.4,0,0,0,0
2024-10-05 03:00,9.7,Clear,7.6,NNW,1024.0,0.0,94,10.0,13.4,8.7,0,0,0,0
2024-10-05 04:00,9.2,Partly cloudy,7.9,NNW,1024.0,0.0,96,10.0,13.8,8.1,0,0,0,0
2024-10-05 05:00,8.6,Mist,8.3,NNW,1024.0,0.0,97,10.0,14.5,7.6,0,0,0,0
2024-10-05 06:00,8.1,Mist,8.6,NNW,1025.0,0.0,96,10.0,15.1,7.1,0,0,0,0
2024-10-05 07:00,7.8,Mist,8.3,NNW,1025.0,0.0,96,10.0,14.7,6.8,0,0,0,0
2024-10-05 08:00,9.6,Mist,7.2,NNW,1026.0,0.0,96,10.0,12.1,8.9,0,0,0,0
2024-10-05 09:00,11.6,Mist,8.6,NNW,1026.0,0.0,82,10.0,12.0,11.1,0,0,0,0
2024-10-05 10:00,13.6,Mist,7.6,N,1025.0,0.0,75,10.0,9.2,13.4,0,0,0,0
2024-10-05 11:00,15.2,Partly cloudy,5.0,NNW,1025.0,0.0,68,10.0,5.8,15.1,0,0,0,0
2024-10-05 12:00,16.4,Partly cloudy,2.9,NW,1025.0,0.0,61,10.0,3.3,16.3,0,0,0,0
2024-10-05 13:00,17.3,Partly cloudy,4.0,WSW,1024.0,0.0,58,10.0,4.6,17.3,0,0,0,0
2024-10-05 14:00,17.8,Sunny,5.8,WSW,1024.0,0.0,55,10.0,6.6,17.8,0,0,0,0
2024-10-05 15:00,18.0,Sunny,6.8,SW,1023.0,0.0,56,10.0,7.9,18.0,0,0,0,0
2024-10-05 16:00,18.2,Sunny,6.1,SW,1023.0,0.0,57,10.0,7.1,18.2,0,0,0,0
2024-10-05 17:00,17.4,Sunny,6.8,SSW,1022.0,0.0,57,10.0,8.6,17.4,0,0,0,0
2024-10-05 18:00,16.7,Sunny,7.9,SSE,1022.0,0.0,69,10.0,11.2,16.7,0,0,0,0
2024-10-05 19:00,15.9,Clear,7.9,SSE,1022.0,0.0,75,10.0,12.3,15.9,0,0,0,0
2024-10-05 20:00,15.1,Partly cloudy,6.8,SE,1022.0,0.0,80,10.0,11.6,15.0,0,0,0,0
2024-10-05 21:00,14.6,Partly cloudy,7.6,SE,1021.0,0.0,87,10.0,13.1,14.3,0,0,0,0
2024-10-05 22:00,13.5,Partly cloudy,7.2,SE,1021.0,0.0,91,10.0,12.5,13.0,0,0,0,0
2024-10-05 23:00,13.5,Clear,8.3,SE,1023.0,0.0,84,10.0,14.5,12.7,0,0,0,0
2024-10-06 00:00,12.3,Clear,7.2,SE,1020.0,0.0,73,10.0,13.3,11.2,0,0,0,0
2024-10-06 01:00,11.8,Clear,7.6,SE,1020.0,0.0,75,10.0,13.9,10.3,0,0,0,0
2024-10-06 02:00,11.7,Clear,7.9,SE,1019.0,0.0,78,10.0,14.7,10.0,0,0,0,0
2024-10-06 03:00,11.6,Clear,7.2,SSE,1017.0,0.0,82,10.0,13.5,9.8,0,0,0,0
2024-10-06 04:00,11.7,Clear,7.9,SSE,1016.0,0.0,84,10.0,15.0,9.8,0,0,0,0
2024-10-06 05:00,12.1,Clear,9.7,SE,1015.0,0.0,87,10.0,18.3,10.2,0,0,0,0
2024-10-06 06:00,12.5,Cloudy,9.7,SSE,1014.0,0.0,85,10.0,17.5,10.7,0,0,0,0
2024-10-06 07:00,13.0,Cloudy,9.4,SSE,1013.0,0.0,84,10.0,16.8,11.2,0,0,0,0
2024-10-06 08:00,13.5,Cloudy,11.5,SSE,1012.0,0.0,83,10.0,19.8,11.8,0,0,0,0
2024-10-06 09:00,14.0,Cloudy,14.4,SSE,1010.0,0.0,86,10.0,21.0,12.3,0,0,0,0
2024-10-06 10:00,14.4,Cloudy,17.6,S,1009.0,0.0,87,10.0,23.9,12.7,0,0,0,0
2024-10-06 11:00,15.4,Thundery outbreaks possible,19.4,S,1008.0,0.0,89,10.0,24.6,14.1,0,0,0,0
2024-10-06 12:00,16.2,Thundery outbreaks possible,21.6,SSW,1007.0,0.86,86,2.0,26.3,15.4,1,100,0,0
2024-10-06 13:00,17.1,Thundery outbreaks possible,19.1,SSW,1007.0,1.28,84,10.0,28.4,16.7,1,100,0,0
2024-10-06 14:00,18.2,Light rain shower,20.5,SSW,1006.0,1.71,83,10.0,26.3,18.0,1,100,0,0
2024-10-06 15:00,19.1,Light rain shower,19.4,SSW,1006.0,0.86,71,10.0,29.5,19.0,1,100,0,0
2024-10-06 16:00,20.0,Light rain shower,19.1,SW,1007.0,0.43,65,2.0,28.0,19.9,1,100,0,0
2024-10-06 17:00,19.4,Sunny,18.0,WSW,1007.0,0.0,59,10.0,31.6,19.4,0,0,0,0
2024-10-06 18:00,18.7,Sunny,14.8,WSW,1007.0,0.0,60,10.0,27.0,18.7,0,0,0,0
2024-10-06 19:00,17.8,Clear,10.8,W,1008.0,0.0,61,10.0,22.7,17.8,0,0,0,0
2024-10-06 20:00,16.5,Partly cloudy,18.0,WNW,1008.0,0.0,62,10.0,33.5,16.0,0,0,0,0
2024-10-06 21:00,15.4,Partly cloudy,23.4,NNW,1009.0,0.0,67,10.0,33.1,14.3,0,0,0,0
2024-10-06 22:00,14.1,Partly cloudy,22.7,NW,1009.0,0.0,70,10.0,32.2,13.2,0,0,0,0
2024-10-06 23:00,13.1,Clear,18.4,NW,1021.0,0.0,67,10.0,26.1,11.4,0,0,0,0
2024-10-07 00:00,13.0,Clear,13.3,NW,1009.0,0.0,76,10.0,19.5,11.1,0,0,0,0
2024-10-07 01:00,12.2,Clear,13.3,WNW,1010.0,0.0,76,10.0,18.7,10.1,0,0,0,0
2024-10-07 02:00,11.8,Partly cloudy,14.0,WNW,1010.0,0.0,77,10.0,19.7,9.6,0,0,0,0
2024-10-07 03:00,11.5,Partly cloudy,14.4,WNW,1010.0,0.0,78,10.0,19.9,9.3,0,0,0,0
2024-10-07 04:00,11.4,Partly cloudy,14.8,WNW,1011.0,0.0,78,10.0,20.0,9.1,0,0,0,0
2024-10-07 05:00,11.2,Cloudy,16.6,W,1011.0,0.0,78,10.0,22.5,8.7,0,0,0,0
2024-10-07 06:00,10.9,Cloudy,16.9,W,1012.0,0.0,78,10.0,23.0,8.5,0,0,0,0
2024-10-07 07:00,10.7,Cloudy,16.9,W,1012.0,0.0,77,10.0,22.9,8.3,0,0,0,0
2024-10-07 08:00,10.9,Partly cloudy,16.9,W,1012.0,0.0,77,10.0,23.1,8.4,0,0,0,0
2024-10-07 09:00,11.1,Partly cloudy,17.3,WNW,1013.0,0.0,73,10.0,23.5,8.6,0,0,0,0
2024-10-07 10:00,11.4,Partly cloudy,18.7,WNW,1013.0,0.0,70,10.0,23.6,8.9,0,0,0,0
2024-10-07 11:00,11.9,Cloudy,19.8,WNW,1013.0,0.0,68,10.0,24.0,9.5,0,0,0,0
2024-10-07 12:00,12.4,Cloudy,20.5,NW,1013.0,0.0,63,10.0,23.6,10.1,0,0,0,0
2024-10-07 13:00,12.8,Cloudy,20.2,NW,1013.0,0.0,60,10.0,24.6,10.6,0,0,0,0
2024-10-07 14:00,13.6,Partly cloudy,22.3,NW,1013.0,0.0,57,10.0,25.7,12.0,0,0,0,0
2024-10-07 15:00,14.2,Partly cloudy,18.7,WNW,1014.0,0.0,56,10.0,21.5,13.2,0,0,0,0
2024-10-07 16:00,14.8,Partly cloudy,20.2,NW,1014.0,0.0,55,10.0,23.5,14.3,0,0,0,0
2024-10-07 17:00,13.8,Sunny,19.4,NW,1014.0,0.0,55,10.0,24.0,13.1,0,0,0,0
2024-10-07 18:00,12.6,Sunny,16.2,NW,1014.0,0.0,61,10.0,22.2,11.5,0,0,0,0
2024-10-07 19:00,11.4,Clear,14.8,WNW,1014.0,0.0,63,10.0,21.8,9.9,0,0,0,0
2024-10-07 20:00,10.3,Clear,13.3,WNW,1015.0,0.0,66,10.0,19.6,8.7,0,0,0,0
2024-10-07 21:00,9.6,Clear,13.0,WNW,1015.0,0.0,72,10.0,19.3,7.8,0,0,0,0
2024-10-07 22:00,11.9,Clear,12.2,WNW,1015.0,0.0,75,10.0,18.8,10.1,0,0,0,0
2024-10-07 23:00,10.1,Clear,11.2,W,1009.0,0.0,74,10.0,17.2,8.3,0,0,0,0
